id,pid,charge,e,px,py,pz,radius,time,x,y,z,r,pt,pp
0,2,-1,0.167,-0.051,-0.112,0.044,2,0.40,-0.122311,-0.266599,0.105111,0.311582,0.337346,1.140664
0,2,-1,0.167,-0.051,-0.112,0.044,3,0.50,-0.152888,-0.333249,0.131388,0.389477,0.337346,1.140664
0,2,-1,0.167,-0.051,-0.112,0.044,4,0.60,-0.183466,-0.399898,0.157666,0.467373,0.337346,1.140664
0,2,-1,0.167,-0.051,-0.112,0.044,5,0.70,-0.214044,-0.466548,0.183944,0.545268,0.337346,1.140664
0,2,-1,0.167,-0.051,-0.112,0.044,6,0.90,-0.275199,-0.599848,0.236499,0.701059,0.337346,1.140664
0,2,-1,0.167,-0.051,-0.112,0.044,7,1.00,-0.305777,-0.666497,0.262777,0.778954,0.337346,1.140664
0,2,-1,0.167,-0.051,-0.112,0.044,8,1.10,-0.336354,-0.733147,0.289054,0.856850,0.337346,1.140664
0,2,-1,0.167,-0.051,-0.112,0.044,9,1.20,-0.366932,-0.799797,0.315332,0.934745,0.337346,1.140664
0,2,-1,0.167,-0.051,-0.112,0.044,11,1.50,-0.458665,-0.999746,0.394165,1.168431,0.337346,1.140664
0,2,-1,0.167,-0.051,-0.112,0.044,12,1.60,-0.489242,-1.066396,0.420443,1.246327,0.337346,1.140664
0,2,-1,0.167,-0.051,-0.112,0.044,13,1.70,-0.519820,-1.133045,0.446720,1.324222,0.337346,1.140664
0,2,-1,0.167,-0.051,-0.112,0.044,14,1.80,-0.550398,-1.199695,0.472998,1.402118,0.337346,1.140664
0,2,-1,0.167,-0.051,-0.112,0.044,16,2.10,-0.642131,-1.399644,0.551831,1.635804,0.337346,1.140664
0,2,-1,0.167,-0.051,-0.112,0.044,17,2.20,-0.672708,-1.466294,0.578109,1.713699,0.337346,1.140664
0,2,-1,0.167,-0.051,-0.112,0.044,18,2.30,-0.703286,-1.532944,0.604386,1.791595,0.337346,1.140664
0,2,-1,0.167,-0.051,-0.112,0.044,20,2.80,-0.856174,-1.866193,0.735775,2.181072,0.337346,1.140664
1,0,0,0.105,-0.034,-0.096,0.025,20,2.20,-0.710949,-2.015405,0.522202,2.200000,0.237364,1.231667
2,3,1,0.997,0.118,-0.894,-0.404,1,0.20,0.023723,-0.179193,-0.080934,0.198048,-0.408656,-1.439176
2,3,1,0.997,0.118,-0.894,-0.404,2,0.30,0.035584,-0.268789,-0.121400,0.297072,-0.408656,-1.439176
2,3,1,0.997,0.118,-0.894,-0.404,3,0.40,0.047445,-0.358386,-0.161867,0.396096,-0.408656,-1.439176
2,3,1,0.997,0.118,-0.894,-0.404,4,0.50,0.059306,-0.447982,-0.202334,0.495120,-0.408656,-1.439176
2,3,1,0.997,0.118,-0.894,-0.404,5,0.60,0.071168,-0.537578,-0.242801,0.594144,-0.408656,-1.439176
2,3,1,0.997,0.118,-0.894,-0.404,6,0.70,0.083029,-0.627175,-0.283267,0.693168,-0.408656,-1.439176
