id,pid,charge,e,px,py,pz,radius,time,x,y,z,r,pt,pp
0,3,-1,0.540,-0.374,0.053,-0.360,1,0.20,-0.135639,-0.034303,-0.133323,0.193261,-0.689860,0.247703
0,3,-1,0.540,-0.374,0.053,-0.360,2,0.30,-0.203921,-0.049526,-0.199985,0.289880,-0.689887,0.238255
0,3,-1,0.540,-0.374,0.053,-0.360,3,0.40,-0.272478,-0.063456,-0.266646,0.386486,-0.689925,0.228808
0,3,-1,0.540,-0.374,0.053,-0.360,4,0.50,-0.341286,-0.076089,-0.333308,0.483073,-0.689973,0.219360
0,3,-1,0.540,-0.374,0.053,-0.360,5,0.60,-0.410321,-0.087419,-0.399969,0.579638,-0.690033,0.209912
0,3,-1,0.540,-0.374,0.053,-0.360,6,0.70,-0.479557,-0.097443,-0.466631,0.676176,-0.690102,0.200465
0,3,-1,0.540,-0.374,0.053,-0.360,7,0.80,-0.548970,-0.106157,-0.533292,0.772682,-0.690183,0.191017
0,3,-1,0.540,-0.374,0.053,-0.360,8,0.90,-0.618535,-0.113558,-0.599954,0.869152,-0.690275,0.181569
0,3,-1,0.540,-0.374,0.053,-0.360,9,1.00,-0.688228,-0.119643,-0.666615,0.965582,-0.690377,0.172122
0,3,-1,0.540,-0.374,0.053,-0.360,10,1.10,-0.758024,-0.124410,-0.733277,1.061966,-0.690490,0.162674
0,3,-1,0.540,-0.374,0.053,-0.360,11,1.20,-0.827897,-0.127858,-0.799938,1.158301,-0.690613,0.153226
0,3,-1,0.540,-0.374,0.053,-0.360,12,1.30,-0.897822,-0.129985,-0.866600,1.254582,-0.690748,0.143779
0,3,-1,0.540,-0.374,0.053,-0.360,13,1.40,-0.967776,-0.130790,-0.933261,1.350804,-0.690893,0.134331
0,3,-1,0.540,-0.374,0.053,-0.360,14,1.50,-1.037732,-0.130273,-0.999923,1.446964,-0.691049,0.124883
0,3,-1,0.540,-0.374,0.053,-0.360,15,1.60,-1.107666,-0.128435,-1.066585,1.543056,-0.691216,0.115435
0,3,-1,0.540,-0.374,0.053,-0.360,16,1.70,-1.177552,-0.125276,-1.133246,1.639076,-0.691393,0.105988
