id,pid,charge,e,px,py,pz,radius,time,x,y,z,r,pt,pp
0,0,0,1.005,0.494,0.860,0.165,20,2.20,1.081183,1.881783,0.360467,2.200000,0.163849,1.049299
1,0,0,1.797,-1.432,-1.086,-0.035,20,2.20,-1.752610,-1.329114,-0.042594,2.200000,-0.019361,0.648832
2,2,1,0.584,0.311,0.292,0.385,1,0.20,0.106583,0.100011,0.131705,0.196745,0.669423,0.753600
2,2,1,0.584,0.311,0.292,0.385,2,0.30,0.159874,0.150017,0.197558,0.295117,0.669423,0.753600
2,2,1,0.584,0.311,0.292,0.385,3,0.40,0.213166,0.200022,0.263411,0.393489,0.669423,0.753600
2,2,1,0.584,0.311,0.292,0.385,4,0.50,0.266457,0.250028,0.329263,0.491861,0.669423,0.753600
2,2,1,0.584,0.311,0.292,0.385,5,0.60,0.319748,0.300034,0.395116,0.590234,0.669423,0.753600
2,2,1,0.584,0.311,0.292,0.385,6,0.70,0.373040,0.350039,0.460969,0.688606,0.669423,0.753600
2,2,1,0.584,0.311,0.292,0.385,7,0.80,0.426331,0.400045,0.526822,0.786978,0.669423,0.753600
2,2,1,0.584,0.311,0.292,0.385,8,0.90,0.479623,0.450050,0.592674,0.885351,0.669423,0.753600
2,2,1,0.584,0.311,0.292,0.385,9,1.00,0.532914,0.500056,0.658527,0.983723,0.669423,0.753600
2,2,1,0.584,0.311,0.292,0.385,20,2.30,1.225702,1.150129,1.514612,2.262563,0.669423,0.753600
3,3,-1,0.375,-0.296,-0.156,0.098,1,0.20,-0.157716,-0.083014,0.052430,0.185781,0.282214,0.484506
3,3,-1,0.375,-0.296,-0.156,0.098,2,0.30,-0.236575,-0.124521,0.078645,0.278672,0.282214,0.484506
3,3,-1,0.375,-0.296,-0.156,0.098,3,0.40,-0.315433,-0.166028,0.104860,0.371563,0.282214,0.484506
3,3,-1,0.375,-0.296,-0.156,0.098,4,0.50,-0.394291,-0.207536,0.131075,0.464453,0.282214,0.484506
3,3,-1,0.375,-0.296,-0.156,0.098,5,0.60,-0.473149,-0.249043,0.157290,0.557344,0.282214,0.484506
3,3,-1,0.375,-0.296,-0.156,0.098,6,0.70,-0.552007,-0.290550,0.183505,0.650235,0.282214,0.484506
3,3,-1,0.375,-0.296,-0.156,0.098,7,0.80,-0.630865,-0.332057,0.209720,0.743125,0.282214,0.484506
3,3,-1,0.375,-0.296,-0.156,0.098,8,0.90,-0.709724,-0.373564,0.235935,0.836016,0.282214,0.484506
3,3,-1,0.375,-0.296,-0.156,0.098,9,1.00,-0.788582,-0.415071,0.262150,0.928907,0.282214,0.484506
3,3,-1,0.375,-0.296,-0.156,0.098,10,1.10,-0.867440,-0.456578,0.288365,1.021797,0.282214,0.484506
3,3,-1,0.375,-0.296,-0.156,0.098,11,1.20,-0.946298,-0.498085,0.314580,1.114688,0.282214,0.484506
3,3,-1,0.375,-0.296,-0.156,0.098,20,2.40,-1.892596,-0.996171,0.629160,2.229376,0.282214,0.484506
4,3,-1,0.786,-0.524,-0.462,-0.333,1,0.20,-0.133319,-0.117548,-0.084606,0.196850,-0.429800,0.722613
4,3,-1,0.786,-0.524,-0.462,-0.333,2,0.30,-0.199979,-0.176322,-0.126909,0.295274,-0.429800,0.722613
4,3,-1,0.786,-0.524,-0.462,-0.333,3,0.40,-0.266639,-0.235096,-0.169212,0.393699,-0.429800,0.722613
4,3,-1,0.786,-0.524,-0.462,-0.333,4,0.50,-0.333299,-0.293870,-0.211515,0.492124,-0.429800,0.722613
4,3,-1,0.786,-0.524,-0.462,-0.333,5,0.60,-0.399958,-0.352644,-0.253818,0.590549,-0.429800,0.722613
4,3,-1,0.786,-0.524,-0.462,-0.333,6,0.70,-0.466618,-0.411418,-0.296121,0.688974,-0.429800,0.722613
4,3,-1,0.786,-0.524,-0.462,-0.333,7,0.80,-0.533278,-0.470192,-0.338424,0.787399,-0.429800,0.722613
4,3,-1,0.786,-0.524,-0.462,-0.333,8,0.90,-0.599937,-0.528966,-0.380727,0.885823,-0.429800,0.722613
4,3,-1,0.786,-0.524,-0.462,-0.333,9,1.00,-0.666597,-0.587740,-0.423030,0.984248,-0.429800,0.722613
4,3,-1,0.786,-0.524,-0.462,-0.333,20,2.30,-1.533173,-1.351802,-0.972970,2.263771,-0.429800,0.722613
5,3,-1,0.401,-0.348,0.044,0.136,1,0.20,-0.173568,0.022101,0.067651,0.187593,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,2,0.30,-0.260352,0.033152,0.101477,0.281389,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,3,0.40,-0.347136,0.044203,0.135302,0.375185,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,4,0.50,-0.433920,0.055253,0.169128,0.468981,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,5,0.60,-0.520704,0.066304,0.202953,0.562778,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,6,0.70,-0.607488,0.077355,0.236779,0.656574,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,7,0.80,-0.694272,0.088405,0.270604,0.750370,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,8,0.90,-0.781055,0.099456,0.304430,0.844166,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,9,1.00,-0.867839,0.110507,0.338255,0.937963,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,10,1.10,-0.954623,0.121557,0.372081,1.031759,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,11,1.20,-1.041407,0.132608,0.405906,1.125555,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,12,1.30,-1.128191,0.143659,0.439732,1.219351,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,13,1.40,-1.214975,0.154709,0.473557,1.313148,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,14,1.50,-1.301759,0.165760,0.507383,1.406944,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,15,1.60,-1.388543,0.176811,0.541209,1.500740,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,16,1.70,-1.475327,0.187861,0.575034,1.594536,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,17,1.80,-1.562111,0.198912,0.608860,1.688333,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,18,1.90,-1.648895,0.209963,0.642685,1.782129,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,19,2.00,-1.735679,0.221013,0.676511,1.875925,0.360628,-0.126654
5,3,-1,0.401,-0.348,0.044,0.136,20,2.40,-2.082815,0.265216,0.811813,2.251110,0.360628,-0.126654
6,3,-1,0.761,-0.733,0.090,0.117,1,0.20,-0.192733,0.023799,0.030847,0.196631,0.156876,-0.122860
6,3,-1,0.761,-0.733,0.090,0.117,2,0.30,-0.289099,0.035699,0.046270,0.294947,0.156876,-0.122860
6,3,-1,0.761,-0.733,0.090,0.117,3,0.40,-0.385466,0.047598,0.061693,0.393263,0.156876,-0.122860
6,3,-1,0.761,-0.733,0.090,0.117,4,0.50,-0.481832,0.059498,0.077117,0.491578,0.156876,-0.122860
6,3,-1,0.761,-0.733,0.090,0.117,5,0.60,-0.578199,0.071397,0.092540,0.589894,0.156876,-0.122860
6,3,-1,0.761,-0.733,0.090,0.117,6,0.70,-0.674565,0.083297,0.107964,0.688209,0.156876,-0.122860
6,3,-1,0.761,-0.733,0.090,0.117,7,0.80,-0.770931,0.095196,0.123387,0.786525,0.156876,-0.122860
6,3,-1,0.761,-0.733,0.090,0.117,8,0.90,-0.867298,0.107096,0.138810,0.884841,0.156876,-0.122860
