id,pid,charge,e,px,py,pz,radius,time,x,y,z,r,pt,pp
0,3,1,0.792,0.560,0.212,0.499,1,0.20,0.146515,-0.037667,0.126005,0.196883,0.640002,-0.251636
0,3,1,0.792,0.560,0.212,0.499,2,0.30,0.220553,-0.053192,0.189008,0.295292,0.640072,-0.236657
0,3,1,0.792,0.560,0.212,0.499,3,0.40,0.295023,-0.066493,0.252011,0.393661,0.640171,-0.221678
0,3,1,0.792,0.560,0.212,0.499,4,0.50,0.369858,-0.077557,0.315013,0.491979,0.640298,-0.206699
0,3,1,0.792,0.560,0.212,0.499,5,0.60,0.444991,-0.086374,0.378016,0.590232,0.640454,-0.191720
0,3,1,0.792,0.560,0.212,0.499,6,0.70,0.520354,-0.092938,0.441019,0.688406,0.640638,-0.176741
0,3,1,0.792,0.560,0.212,0.499,7,0.80,0.595879,-0.097240,0.504022,0.786489,0.640850,-0.161762
0,3,1,0.792,0.560,0.212,0.499,8,0.90,0.671500,-0.099279,0.567024,0.884469,0.641090,-0.146783
0,3,1,0.792,0.560,0.212,0.499,9,1.00,0.747148,-0.099052,0.630027,0.982332,0.641359,-0.131804
0,3,1,0.792,0.560,0.212,0.499,10,1.10,0.822755,-0.096558,0.693030,1.080065,0.641656,-0.116825
0,3,1,0.792,0.560,0.212,0.499,20,2.20,1.632487,0.078326,1.386059,2.142967,0.646794,0.047943
1,3,1,0.353,0.321,-0.047,0.014,1,0.20,0.161594,-0.087331,0.007816,0.183849,0.042511,-0.495471
1,3,1,0.353,0.321,-0.047,0.014,2,0.30,0.243432,-0.129020,0.011723,0.275759,0.042513,-0.487362
1,3,1,0.353,0.321,-0.047,0.014,3,0.40,0.325935,-0.169377,0.015631,0.367650,0.042517,-0.479254
1,3,1,0.353,0.321,-0.047,0.014,4,0.50,0.409082,-0.208390,0.019539,0.459517,0.042521,-0.471145
1,3,1,0.353,0.321,-0.047,0.014,5,0.60,0.492851,-0.246049,0.023447,0.551355,0.042526,-0.463037
1,3,1,0.353,0.321,-0.047,0.014,6,0.70,0.577219,-0.282346,0.027355,0.643156,0.042532,-0.454929
1,3,1,0.353,0.321,-0.047,0.014,7,0.80,0.662165,-0.317269,0.031263,0.734914,0.042539,-0.446820
1,3,1,0.353,0.321,-0.047,0.014,16,1.80,1.538402,-0.589154,0.070341,1.648857,0.042660,-0.365735
1,3,1,0.353,0.321,-0.047,0.014,17,1.90,1.628196,-0.608451,0.074248,1.739755,0.042678,-0.357627
1,3,1,0.353,0.321,-0.047,0.014,18,2.00,1.718292,-0.626288,0.078156,1.830539,0.042696,-0.349519
1,3,1,0.353,0.321,-0.047,0.014,19,2.10,1.808665,-0.642662,0.082064,1.921203,0.042715,-0.341410
1,3,1,0.353,0.321,-0.047,0.014,20,2.30,1.990148,-0.671004,0.089880,2.102146,0.042756,-0.325193
2,3,-1,0.484,-0.388,-0.211,0.141,1,0.20,-0.102535,-0.150931,0.058383,0.191578,0.304745,0.974062
2,3,-1,0.484,-0.388,-0.211,0.141,2,0.30,-0.156279,-0.224660,0.087574,0.287341,0.304774,0.963013
2,3,-1,0.484,-0.388,-0.211,0.141,3,0.40,-0.211639,-0.297184,0.116765,0.383071,0.304813,0.951964
