id,pid,charge,e,px,py,pz,radius,time,x,y,z,r,pt,pp
0,2,1,0.456,0.425,-0.126,0.013,1,0.20,0.186482,-0.055405,0.005747,0.194624,0.029527,-0.288800
0,2,1,0.456,0.425,-0.126,0.013,2,0.30,0.279723,-0.083108,0.008620,0.291935,0.029527,-0.288800
0,2,1,0.456,0.425,-0.126,0.013,3,0.40,0.372964,-0.110810,0.011493,0.389247,0.029527,-0.288800
0,2,1,0.456,0.425,-0.126,0.013,4,0.50,0.466206,-0.138513,0.014367,0.486559,0.029527,-0.288800
0,2,1,0.456,0.425,-0.126,0.013,5,0.60,0.559447,-0.166215,0.017240,0.583871,0.029527,-0.288800
0,2,1,0.456,0.425,-0.126,0.013,6,0.70,0.652688,-0.193918,0.020113,0.681183,0.029527,-0.288800
0,2,1,0.456,0.425,-0.126,0.013,7,0.80,0.745929,-0.221620,0.022987,0.778495,0.029527,-0.288800
0,2,1,0.456,0.425,-0.126,0.013,8,0.90,0.839170,-0.249323,0.025860,0.875806,0.029527,-0.288800
0,2,1,0.456,0.425,-0.126,0.013,9,1.00,0.932411,-0.277025,0.028733,0.973118,0.029527,-0.288800
0,2,1,0.456,0.425,-0.126,0.013,10,1.10,1.025652,-0.304728,0.031607,1.070430,0.029527,-0.288800
0,2,1,0.456,0.425,-0.126,0.013,11,1.20,1.118893,-0.332431,0.034480,1.167742,0.029527,-0.288800
0,2,1,0.456,0.425,-0.126,0.013,12,1.30,1.212134,-0.360133,0.037353,1.265054,0.029527,-0.288800
0,2,1,0.456,0.425,-0.126,0.013,13,1.40,1.305375,-0.387836,0.040227,1.362366,0.029527,-0.288800
0,2,1,0.456,0.425,-0.126,0.013,14,1.50,1.398617,-0.415538,0.043100,1.459677,0.029527,-0.288800
0,2,1,0.456,0.425,-0.126,0.013,20,2.30,2.144545,-0.637159,0.066087,2.238172,0.029527,-0.288800
1,2,1,1.260,-0.429,-0.606,1.013,1,0.20,-0.068029,-0.096107,0.160803,0.199304,0.806822,0.954825
1,2,1,1.260,-0.429,-0.606,1.013,2,0.30,-0.102044,-0.144161,0.241205,0.298957,0.806822,0.954825
1,2,1,1.260,-0.429,-0.606,1.013,3,0.40,-0.136058,-0.192215,0.321606,0.398609,0.806822,0.954825
1,2,1,1.260,-0.429,-0.606,1.013,4,0.50,-0.170073,-0.240268,0.402008,0.498261,0.806822,0.954825
1,2,1,1.260,-0.429,-0.606,1.013,5,0.60,-0.204087,-0.288322,0.482410,0.597913,0.806822,0.954825
1,2,1,1.260,-0.429,-0.606,1.013,6,0.70,-0.238102,-0.336376,0.562811,0.697565,0.806822,0.954825
1,2,1,1.260,-0.429,-0.606,1.013,15,1.50,-0.510218,-0.720805,1.206024,1.494783,0.806822,0.954825
1,2,1,1.260,-0.429,-0.606,1.013,16,1.60,-0.544233,-0.768859,1.286426,1.594435,0.806822,0.954825
1,2,1,1.260,-0.429,-0.606,1.013,17,1.70,-0.578247,-0.816912,1.366827,1.694087,0.806822,0.954825
1,2,1,1.260,-0.429,-0.606,1.013,18,1.80,-0.612262,-0.864966,1.447229,1.793740,0.806822,0.954825
1,2,1,1.260,-0.429,-0.606,1.013,19,1.90,-0.646276,-0.913020,1.527630,1.893392,0.806822,0.954825
1,2,1,1.260,-0.429,-0.606,1.013,20,2.30,-0.782334,-1.105234,1.849237,2.292001,0.806822,0.954825
2,3,-1,0.837,-0.200,0.377,-0.706,1,0.20,-0.047745,0.090135,-0.168794,0.197220,-0.855871,-1.083666
2,3,-1,0.837,-0.200,0.377,-0.706,2,0.30,-0.071618,0.135203,-0.253192,0.295829,-0.855871,-1.083666
2,3,-1,0.837,-0.200,0.377,-0.706,3,0.40,-0.095491,0.180271,-0.337589,0.394439,-0.855871,-1.083666
2,3,-1,0.837,-0.200,0.377,-0.706,4,0.50,-0.119364,0.225338,-0.421986,0.493049,-0.855871,-1.083666
