id,pid,charge,e,px,py,pz,radius,time,x,y,z,r,pt,pp
0,0,0,2.521,-1.834,0.703,1.580,20,2.10,-1.528013,0.585595,1.316152,2.100000,0.626739,-0.365975
1,3,-1,0.534,0.300,-0.245,-0.340,1,0.20,0.139136,-0.041091,-0.127419,0.193088,-0.659900,-0.287166
1,3,-1,0.534,0.300,-0.245,-0.340,2,0.30,0.208082,-0.063648,-0.191128,0.289619,-0.659929,-0.296841
1,3,-1,0.534,0.300,-0.245,-0.340,3,0.40,0.276578,-0.087535,-0.254837,0.386135,-0.659970,-0.306517
1,3,-1,0.534,0.300,-0.245,-0.340,4,0.50,0.344600,-0.112742,-0.318547,0.482630,-0.660022,-0.316193
1,3,-1,0.534,0.300,-0.245,-0.340,5,0.60,0.412121,-0.139262,-0.382256,0.579100,-0.660086,-0.325868
1,3,-1,0.534,0.300,-0.245,-0.340,6,0.70,0.479116,-0.167082,-0.445965,0.675539,-0.660162,-0.335544
1,3,-1,0.534,0.300,-0.245,-0.340,7,0.80,0.545560,-0.196194,-0.509675,0.771943,-0.660249,-0.345219
1,3,-1,0.534,0.300,-0.245,-0.340,8,0.90,0.611428,-0.226587,-0.573384,0.868306,-0.660348,-0.354895
1,3,-1,0.534,0.300,-0.245,-0.340,9,1.00,0.676696,-0.258248,-0.637093,0.964623,-0.660458,-0.364571
1,3,-1,0.534,0.300,-0.245,-0.340,10,1.10,0.741339,-0.291166,-0.700803,1.060889,-0.660581,-0.374246
1,3,-1,0.534,0.300,-0.245,-0.340,11,1.20,0.805333,-0.325328,-0.764512,1.157099,-0.660714,-0.383922
1,3,-1,0.534,0.300,-0.245,-0.340,12,1.30,0.868654,-0.360723,-0.828221,1.253249,-0.660860,-0.393597
1,3,-1,0.534,0.300,-0.245,-0.340,13,1.40,0.931279,-0.397336,-0.891931,1.349332,-0.661017,-0.403273
1,3,-1,0.534,0.300,-0.245,-0.340,14,1.50,0.993183,-0.435154,-0.955640,1.445344,-0.661185,-0.412948
1,3,-1,0.534,0.300,-0.245,-0.340,15,1.60,1.054344,-0.474163,-1.019349,1.541280,-0.661365,-0.422624
1,3,-1,0.534,0.300,-0.245,-0.340,16,1.70,1.114738,-0.514348,-1.083059,1.637135,-0.661557,-0.432300
1,3,-1,0.534,0.300,-0.245,-0.340,17,1.80,1.174344,-0.555694,-1.146768,1.732904,-0.661761,-0.441975
1,3,-1,0.534,0.300,-0.245,-0.340,18,1.90,1.233138,-0.598186,-1.210478,1.828582,-0.661976,-0.451651
1,3,-1,0.534,0.300,-0.245,-0.340,19,2.00,1.291099,-0.641808,-1.274187,1.924164,-0.662203,-0.461326
1,3,-1,0.534,0.300,-0.245,-0.340,20,2.20,1.404435,-0.732374,-1.401606,2.115020,-0.662691,-0.480678
2,1,1,0.674,-0.556,0.184,0.333,1,0.20,-0.105419,0.138219,0.098874,0.199984,0.494409,-0.919221
2,1,1,0.674,-0.556,0.184,0.333,2,0.30,-0.161117,0.204955,0.148311,0.299935,0.494476,-0.904583
2,1,1,0.674,-0.556,0.184,0.333,3,0.40,-0.218745,0.270032,0.197748,0.399838,0.494569,-0.889945
2,1,1,0.674,-0.556,0.184,0.333,4,0.50,-0.278253,0.333394,0.247184,0.499676,0.494689,-0.875307
2,1,1,0.674,-0.556,0.184,0.333,5,0.60,-0.339590,0.394987,0.296621,0.599433,0.494836,-0.860669
2,1,1,0.674,-0.556,0.184,0.333,6,0.70,-0.402704,0.454759,0.346058,0.699094,0.495010,-0.846031
2,1,1,0.674,-0.556,0.184,0.333,16,1.60,-1.041290,0.902815,0.790990,1.589032,0.497781,-0.714290
2,1,1,0.674,-0.556,0.184,0.333,17,1.70,-1.118968,0.941829,0.840427,1.686846,0.498224,-0.699652
